sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceoriginal	referenceDoi	referenceCitation
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:489155	Cirriformia luxuriosa	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:600907	Diaperoecia californica	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:597005	Diopatra ornata	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:212870	Dodecaceria fewkesi	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:598340	Ophioplocus esmarki	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:598202	Ophiothrix spiculata	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:488970	Phragmatopoma californica	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:482379	Pista elongata	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:3135580	Sabellid Worm 	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1012531	Cymatogaster aggregata	RO:0002439	Preys on	EOL:620233	Salmacina tribranchiata	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Robbins 2006	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:451984	Aplysia californica	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Pennings 1991	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:451990	Aplysia vaccaria	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Pennings 1991	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:39920	Cancer	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Lindberg 1955	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:614308	Conus californicus	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Lindberg 1955	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:449726	Crassadoma gigantea	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Lindberg 1955	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:591148	Cypraea spadicea	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Lindberg 1955	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:597005	Diopatra ornata	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Zimmer-Faust 1982	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:620396	Haliotis rufescens	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Zimmer-Faust 1982	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:440064	Hiatella arctica	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Lindberg 1955	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:396143	Kelletia kelletii	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Lindberg 1955	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:50501	Lithopoma	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Lindberg 1955	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
EOL:1023314	Panulirus interruptus	RO:0002439	Preys on	EOL:342252	Loxorhynchus grandis	EOL:5392961	Santa Barbara Channel	34.25	-120.00097		Lindberg 1955	doi:10.1111/j.1365-2486.2011.02409.x	Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3
